Package,N,A,Ce,Ca,I,D,post,Package Name ,IPIC ,IIPUD,IIPED,PGF ,PSC ,SLOC,pkgKLOC
org.apache.camel.component.cxf,54,0.08,35,6,0.853658537,0.066341463,0,component.cxf,0.971428571,0.073045267,0.208791209,0.25,0.386574074,3008,3.008
org.apache.camel.component.cxf.converter,1,0,4,0,0,1,0,cxf.converter,1,1,1,0,0,42,0.042
org.apache.camel.component.cxf.feature,4,0.333333333,7,1,0.875,0.208333333,0,cxf.feature,0.995238095,0.583333333,1,1,0,192,0.192
org.apache.camel.component.cxf.interceptors,12,0.2,9,1,0.9,0.1,0,cxf.interceptors,0.995238095,1,0.75,1,0,674,0.674
org.apache.camel.component.cxf.invoker,8,0.333333333,9,1,0.9,0.233333333,0,cxf.invoker,0.995238095,0.75,0.75,1,0,395,0.395
org.apache.camel.component.cxf.spring,5,0,10,2,0.833333333,0.166666667,0,cxf.spring,0.99047619,0.571428571,0.4375,1,0.5,170,0.17
org.apache.camel.component.cxf.transport,8,0.142857143,14,2,0.875,0.017857143,0,cxf.transport,0.995238095,0.171052632,0.75,0.5,1,817,0.817
org.apache.camel.component.cxf.transport.spring,4,0,6,0,0,1,0,transport.spring,1,0.666666667,0.75,0,0,64,0.064
org.apache.camel.component.cxf.util,13,0.083333333,24,1,0.96,0.043333333,0,cxf.util,0.995238095,0.145,0.5,1,0,758,0.758
org.apache.camel.component.dataset,11,0.222222222,12,0,0,0.777777778,6,component.dataset,1,0.215686275,0.4,0,0,445,0.445
org.apache.camel.component.direct,5,0,9,0,0,1,2,component.direct,1,0.3,0.466666667,0,0,169,0.169
org.apache.camel.component.event,6,0,9,1,0.9,0.1,0,component.event,0.995238095,0.242424242,0.466666667,1,0,198,0.198
org.apache.camel.component.file,46,0.022222222,22,9,0.709677419,0.268100358,24,component.file,0.952380952,0.125714286,0.407407407,0.333333333,0.54,2426,2.426
org.apache.camel.component.file.remote,52,0.083333333,15,0,0,0.916666667,0,file.remote,1,0.145299145,0.555555556,0,0,2970,2.97
org.apache.camel.component.file.strategy,8,0.333333333,8,0,0,0.666666667,4,file.strategy,1,0.333333333,1,0,0,330,0.33
org.apache.camel.component.flatpack,17,0,13,0,0,1,0,component.flatpack,1,0.164772727,0.4,0,0,821,0.821
org.apache.camel.component.freemarker,10,0,12,0,0,1,0,component.freemarker,1,0.226190476,0.4375,0,0,325,0.325
org.apache.camel.component.hl7,5,0,7,0,0,1,0,component.hl7,1,0.314285714,1,0,0,460,0.46
org.apache.camel.component.http,26,0.083333333,14,2,0.875,0.041666667,0,component.http,0.99047619,0.168831169,0.393939394,0.541666667,0.5,1302,1.302
org.apache.camel.component.http.helper,1,0,1,1,0.5,0.5,0,http.helper,0.995238095,1,1,1,0,20,0.02
org.apache.camel.component.ibatis,7,0,9,0,0,1,0,component.ibatis,1,0.272727273,0.6,0,0,303,0.303
org.apache.camel.component.irc,11,0,9,0,0,1,0,component.irc,1,0.407407407,0.416666667,0,0,881,0.881
org.apache.camel.component.jcr,6,0,12,0,0,1,0,component.jcr,1,0.21875,0.466666667,0,0,251,0.251
org.apache.camel.component.jdbc,7,0,11,0,0,1,0,component.jdbc,1,0.196428571,0.625,0,0,343,0.343
org.apache.camel.component.jetty,23,0,11,0,0,1,0,component.jetty,1,0.169642857,0.625,0,0,1176,1.176
org.apache.camel.component.jhc,15,0.153846154,15,0,0,0.846153846,0,component.jhc,1,0.185714286,0.325,0,0,1218,1.218
org.apache.camel.component.jms,50,0.041666667,23,11,0.676470588,0.281862745,0,component.jms,0.947619048,0.09,0.555555556,0.290909091,0.679752066,4254,4.254
org.apache.camel.component.jms.bind,2,0,5,0,0,1,0,jms.bind,1,0.6,1,0,0,49,0.049
org.apache.camel.component.jms.discovery,3,0,6,0,0,1,0,jms.discovery,1,0.555555556,1,0,0,81,0.081
org.apache.camel.component.jms.issues,15,0,14,0,0,1,0,jms.issues,1,0.183333333,0.4375,0,0,662,0.662
org.apache.camel.component.jms.remoting,2,0,4,0,0,1,0,jms.remoting,1,1,0.75,0,0,22,0.022
org.apache.camel.component.jms.requestor,8,0.142857143,9,1,0.9,0.042857143,0,jms.requestor,0.995238095,0.357142857,0.75,1,0,678,0.678
org.apache.camel.component.jms.temp,3,0,6,0,0,1,0,jms.temp,1,0.325,1,0,0,113,0.113
org.apache.camel.component.jms.tx,11,0.1,10,0,0,0.9,0,jms.tx,1,0.173611111,0.75,0,0,387,0.387
org.apache.camel.component.jmx,5,0,6,0,0,1,0,component.jmx,1,1,1,0,0,190,0.19
org.apache.camel.component.jpa,15,0.666666667,10,1,0.909090909,0.575757576,0,component.jpa,0.995238095,0.244444444,0.428571429,1,0,834,0.834
org.apache.camel.component.jt400,7,0,10,0,0,1,0,component.jt400,1,0.318181818,0.444444444,0,0,266,0.266
org.apache.camel.component.ldap,5,0.25,12,0,0,0.75,0,component.ldap,1,0.215686275,0.625,0,0,272,0.272
org.apache.camel.component.list,3,0,10,1,0.909090909,0.090909091,0,component.list,0.995238095,0.261538462,0.666666667,1,0,113,0.113
org.apache.camel.component.log,4,0,10,0,0,1,1,component.log,1,0.176470588,0.75,0,0,254,0.254
org.apache.camel.component.mail,30,0,13,0,0,1,0,component.mail,1,0.173469388,0.571428571,0,0,2054,2.054
org.apache.camel.component.mail.security,2,0,7,0,0,1,0,mail.security,1,1,1,0,0,80,0.08
org.apache.camel.component.mina,47,0,17,0,0,1,0,component.mina,1,0.158653846,0.34375,0,0,2327,2.327
org.apache.camel.component.mock,4,0.333333333,10,87,0.103092784,0.563573883,4,component.mock,0.585714286,0.206349206,0.666666667,0.402298851,0.911018629,687,0.687
org.apache.camel.component.pojo,3,0.5,6,0,0,0.5,0,component.pojo,1,0.375,1,0,0,48,0.048
org.apache.camel.component.quartz,10,0,10,0,0,1,0,component.quartz,1,0.19047619,0.583333333,0,0,493,0.493
org.apache.camel.component.ref,1,0,5,0,0,1,0,component.ref,1,0.666666667,1,0,0,18,0.018
org.apache.camel.component.restlet,14,0.076923077,15,0,0,0.923076923,0,component.restlet,1,0.215686275,0.34375,0,0,751,0.751
org.apache.camel.component.restlet.converter,1,0,2,0,0,1,0,restlet.converter,1,1,1,0,0,15,0.015
org.apache.camel.component.restlet.route,1,0,3,0,0,1,0,restlet.route,1,1,1,0,0,18,0.018
org.apache.camel.component.rmi,8,0.142857143,13,0,0,0.857142857,0,component.rmi,1,0.2875,0.444444444,0,0,307,0.307
org.apache.camel.component.seda,10,0,10,1,0.909090909,0.090909091,2,component.seda,0.995238095,0.185714286,0.571428571,1,0,342,0.342
org.apache.camel.component.spring.integration,14,0,8,2,0.8,0.2,0,spring.integration,0.99047619,0.210526316,0.571428571,0.5,0.25,510,0.51
org.apache.camel.component.spring.integration.adapter,6,0.2,10,1,0.909090909,0.109090909,0,integration.adapter,1,0.230769231,0.75,1,0,288,0.288
org.apache.camel.component.spring.integration.adapter.config,4,0,5,0,0,1,0,adapter.config,1,0.666666667,1,0,0,111,0.111
org.apache.camel.component.spring.integration.converter,1,0,3,0,0,1,0,integration.converter,1,0.6,1,0,0,38,0.038
org.apache.camel.component.sql,6,0,9,0,0,1,0,component.sql,1,0.226190476,0.625,0,0,371,0.371
org.apache.camel.component.stream,11,0,8,0,0,1,0,component.stream,1,0.388888889,0.583333333,0,0,437,0.437
org.apache.camel.component.stringtemplate,5,0,11,0,0,1,0,component.stringtemplate,1,0.230769231,0.555555556,0,0,157,0.157
org.apache.camel.component.swing,2,0,6,0,0,1,0,component.swing,1,0.4,1,0,0,44,0.044
org.apache.camel.component.test,3,0,8,0,0,1,0,component.test,1,0.388888889,0.555555556,0,0,100,0.1
org.apache.camel.component.timer,6,0,9,0,0,1,0,component.timer,1,0.272727273,0.625,0,0,269,0.269
org.apache.camel.component.uface,5,0,11,1,0.916666667,0.083333333,0,component.uface,0.995238095,0.228571429,0.555555556,1,0,186,0.186
org.apache.camel.component.uface.swing,3,0,8,0,0,1,0,uface.swing,1,0.666666667,0.666666667,0,0,55,0.055
org.apache.camel.component.validator,3,0,11,2,0.846153846,0.153846154,0,component.validator,0.99047619,0.5,0.555555556,0.666666667,0.5,82,0.082
org.apache.camel.component.validator.jing,5,0,13,0,0,1,0,validator.jing,1,0.357142857,0.75,0,0,159,0.159
org.apache.camel.component.validator.msv,2,0,5,0,0,1,0,validator.msv,1,0.75,1,0,0,32,0.032
org.apache.camel.component.velocity,9,0,11,0,0,1,0,component.velocity,1,0.272727273,0.4375,0,0,305,0.305
org.apache.camel.component.vm,2,0,9,0,0,1,0,component.vm,1,0.314285714,0.75,0,0,85,0.085
org.apache.camel.component.xmpp,12,0,12,0,0,1,0,component.xmpp,1,0.178571429,0.416666667,0,0,765,0.765
org.apache.camel.component.xquery,13,0.181818182,22,1,0.956521739,0.138339921,0,component.xquery,0.995238095,0.149758454,0.4375,1,0,649,0.649
org.apache.camel.component.xslt,6,0,13,0,0,1,0,component.xslt,1,0.183333333,0.555555556,0,0,148,0.148
org.apache.camel.converter,15,0.071428571,16,21,0.432432432,0.496138996,4,camel.converter,0.9,0.25,1,0.297619048,0.48185941,942,0.942
org.apache.camel.converter.jaxb,12,0.090909091,15,1,0.9375,0.028409091,0,converter.jaxb,0.995238095,0.230769231,1,1,0,611,0.611
org.apache.camel.converter.jaxp,6,0,16,13,0.551724138,0.448275862,4,converter.jaxp,0.938095238,0.5,1,0.384615385,0.547337278,674,0.674
org.apache.camel.converter.stream,3,0.5,9,5,0.642857143,0.142857143,4,converter.stream,0.980952381,0.466666667,1,1,1,116,0.116
org.apache.camel.converter.xmlbeans,5,0,15,0,0,1,0,converter.xmlbeans,1,0.220779221,1,0,0,156,0.156
org.apache.camel.dataformat.csv,2,0,8,0,0,1,0,dataformat.csv,1,0.314285714,1,0,0,138,0.138
org.apache.camel.dataformat.hl7,3,0,8,0,0,1,0,dataformat.hl7,1,0.28,1,0,0,136,0.136
org.apache.camel.dataformat.supercsv,2,0,9,0,0,1,0,dataformat.supercsv,1,0.314285714,1,0,0,120,0.12
org.apache.camel.dataformat.tagsoup,5,0,15,1,0.9375,0.0625,0,dataformat.tagsoup,0.995238095,0.3,1,1,0,297,0.297
org.apache.camel.dataformat.xstream,9,0.125,10,0,0,0.875,0,dataformat.xstream,1,0.236111111,1,0,0,341,0.341
org.apache.camel.example,8,0,12,0,0,1,0,camel.example,1,0.259259259,0.555555556,0,0,201,0.201
org.apache.camel.example.axis,4,0,9,0,0,1,0,example.axis,1,0.666666667,0.555555556,0,0,127,0.127
org.apache.camel.example.bam,2,0,7,0,0,1,0,example.bam,1,0.285714286,1,0,0,30,0.03
org.apache.camel.example.camel.transport,4,0,8,0,0,1,0,camel.transport,1,1,1,0,0,156,0.156
org.apache.camel.example.client,3,0,4,0,0,1,0,example.client,1,0.55,1,0,0,63,0.063
org.apache.camel.example.cxf,4,0,10,0,0,1,0,example.cxf,1,0.4,1,0,0,173,0.173
org.apache.camel.example.cxf.provider,5,0,9,0,0,1,0,cxf.provider,1,1,1,0,0,154,0.154
org.apache.camel.example.docs,4,0,6,0,0,1,0,example.docs,1,0.5,0.75,0,0,33,0.033
org.apache.camel.example.etl,5,0,8,0,0,1,0,example.etl,1,0.4375,1,0,0,175,0.175
org.apache.camel.example.guice.jms,4,0,8,0,0,1,0,guice.jms,1,0.4375,0.555555556,0,0,53,0.053
org.apache.camel.example.jms,1,0,1,1,0.5,0.5,0,example.jms,0.995238095,1,1,1,0,71,0.071
org.apache.camel.example.jmstofile,1,0,4,0,0,1,0,example.jmstofile,1,0.466666667,1,0,0,36,0.036
org.apache.camel.example.osgi,1,0,3,0,0,1,0,example.osgi,1,1,1,0,0,29,0.029
org.apache.camel.example.server,4,0.333333333,5,1,0.833333333,0.166666667,0,example.server,0.995238095,0.6,1,1,0,42,0.042
org.apache.camel.example.spring,2,0,6,0,0,1,0,example.spring,1,0.555555556,0.75,0,0,29,0.029
org.apache.camel.examples,2,0,2,1,0.666666667,0.333333333,0,camel.examples,0.995238095,1,1,1,0,83,0.083
org.apache.camel.foo.bar,2,0,5,1,0.833333333,0.166666667,0,foo.bar,0.995238095,1,1,1,0,59,0.059
org.apache.camel.guice,16,0,17,1,0.944444444,0.055555556,0,camel.guice,0.995238095,0.142857143,0.36,1,0,526,0.526
org.apache.camel.guice.consume,1,0,3,0,0,1,0,guice.consume,1,1,1,0,0,32,0.032
org.apache.camel.guice.impl,4,0,8,1,0.888888889,0.111111111,0,guice.impl,0.995238095,0.314285714,1,1,0,141,0.141
org.apache.camel.guice.maven,3,0,7,0,0,1,0,guice.maven,1,1,0.75,0,0,882,0.882
org.apache.camel.guice.produce,3,0.5,3,0,0,0.5,0,guice.produce,1,1,1,0,0,38,0.038
org.apache.camel.hamcrest,2,0,2,2,0.5,0.5,0,camel.hamcrest,0.99047619,1,1,1,0.5,34,0.034
org.apache.camel.impl,56,0.272727273,27,99,0.214285714,0.512987013,92,camel.impl,0.528571429,0.082101806,0.466666667,0.095500459,0.292025313,3932,3.932
org.apache.camel.impl.converter,12,0.2,10,9,0.526315789,0.273684211,4,impl.converter,0.957142857,0.380952381,1,0.311111111,0.423868313,637,0.637
org.apache.camel.issues,16,0,7,1,0.875,0.125,0,camel.issues,0.995238095,0.4,1,1,0,807,0.807
org.apache.camel.itest.customerrelations,3,0,2,0,0,1,0,itest.customerrelations,1,1,1,0,0,111,0.111
org.apache.camel.itest.greeter,5,0,10,0,0,1,0,itest.greeter,1,0.333333333,1,0,0,143,0.143
org.apache.camel.itest.jetty,6,0,9,0,0,1,0,itest.jetty,1,0.325,0.75,0,0,180,0.18
org.apache.camel.itest.jms,4,0,9,0,0,1,0,itest.jms,1,0.555555556,1,0,0,229,0.229
org.apache.camel.itest.spring2,1,0,5,0,0,1,0,itest.spring2,1,0.375,1,0,0,34,0.034
org.apache.camel.jaxb,3,0,9,0,0,1,0,camel.jaxb,1,0.314285714,1,0,0,95,0.095
org.apache.camel.jmxconnect,13,0.181818182,15,2,0.882352941,0.064171123,0,camel.jmxconnect,0.99047619,0.318181818,1,0.833333333,0.416666667,638,0.638
org.apache.camel.jmxconnect.provider.activemq,3,0,7,0,0,1,0,provider.activemq,1,0.625,1,0,0,51,0.051
org.apache.camel.jmxconnect.provider.camel,2,0,5,0,0,1,0,provider.camel,1,1,1,0,0,27,0.027
org.apache.camel.language,16,0.777777778,15,7,0.681818182,0.45959596,0,camel.language,0.966666667,0.174603175,1,0.265306122,0.27755102,412,0.412
org.apache.camel.language.bean,3,0,7,2,0.777777778,0.222222222,0,language.bean,0.99047619,0.266666667,0.75,0.5,0.25,112,0.112
org.apache.camel.language.constant,1,0,4,1,0.8,0.2,0,language.constant,0.995238095,0.466666667,1,1,0,18,0.018
org.apache.camel.language.groovy,7,0.166666667,8,0,0,0.833333333,0,language.groovy,1,0.2,0.466666667,0,0,197,0.197
org.apache.camel.language.header,1,0,4,0,0,1,0,language.header,1,0.466666667,1,0,0,18,0.018
org.apache.camel.language.juel,7,0.166666667,10,1,0.909090909,0.075757576,0,language.juel,0.995238095,0.34375,0.4,1,0,218,0.218
org.apache.camel.language.juel.issues,1,0,4,0,0,1,0,juel.issues,1,0.555555556,1,0,0,49,0.049
org.apache.camel.language.jxpath,9,0.125,10,0,0,0.875,0,language.jxpath,1,0.242424242,0.5,0,0,241,0.241
org.apache.camel.language.ognl,5,0.25,6,0,0,0.75,0,language.ognl,1,0.416666667,0.75,0,0,133,0.133
org.apache.camel.language.script,2,0,2,0,0,1,0,language.script,1,1,1,0,0,25,0.025
org.apache.camel.language.simple,4,0.333333333,7,2,0.777777778,0.111111111,8,language.simple,0.99047619,0.314285714,1,1,0.5,294,0.294
org.apache.camel.language.xpath,1,0,5,1,0.833333333,0.166666667,0,language.xpath,0.995238095,0.5,1,1,0,31,0.031
org.apache.camel.loanbroker.queue.version,8,0.142857143,8,0,0,0.857142857,0,queue.version,1,0.230769231,1,0,0,269,0.269
org.apache.camel.loanbroker.webservice.version,5,0.666666667,9,2,0.818181818,0.484848485,0,webservice.version,0.99047619,0.242424242,1,1,0.5,161,0.161
org.apache.camel.loanbroker.webservice.version.bank,4,0.333333333,4,1,0.8,0.133333333,0,version.bank,0.995238095,1,1,1,0,99,0.099
org.apache.camel.loanbroker.webservice.version.credit,4,0.333333333,4,1,0.8,0.133333333,0,version.credit,0.995238095,1,1,1,0,67,0.067
org.apache.camel.management,20,0,19,7,0.730769231,0.269230769,19,camel.management,0.971428571,0.157407407,0.555555556,0.392857143,0.680555556,1318,1.318
org.apache.camel.maven,5,0,12,0,0,1,0,camel.maven,1,0.4,0.555555556,0,0,1456,1.456
org.apache.camel.model,66,0.118644068,26,38,0.40625,0.475105932,4,camel.model,0.814285714,0.068330362,1,0.089473684,0.416491343,5323,5.323
org.apache.camel.model.config,2,0,3,3,0.5,0.5,0,model.config,0.985714286,1,1,0.666666667,0.555555556,90,0.09
org.apache.camel.model.dataformat,15,0,11,7,0.611111111,0.388888889,8,model.dataformat,0.961904762,0.288888889,1,0.323809524,0.364182692,470,0.47
org.apache.camel.model.language,19,0.055555556,9,9,0.5,0.444444444,2,model.language,0.957142857,0.266666667,1,0.25,0.537037037,570,0.57
org.apache.camel.model.loadbalancer,5,0,9,3,0.75,0.25,5,model.loadbalancer,0.985714286,0.28,1,0.733333333,0.518518519,188,0.188
org.apache.camel.non_wrapper,4,0,2,0,0,1,0,camel.non_wrapper,1,1,1,0,0,36,0.036
org.apache.camel.osgi,13,0,25,0,0,1,0,camel.osgi,1,0.104591837,0.285714286,0,0,788,0.788
org.apache.camel.osgi.test,2,0,3,1,0.75,0.25,0,osgi.test,1,1,1,1,0,30,0.03
org.apache.camel.processor,146,0.035460993,27,22,0.551020408,0.413518599,94,camel.processor,0.9,0.064777328,0.375,0.071732955,0.213904928,7343,7.343
org.apache.camel.processor.aggregate,5,0.666666667,3,6,0.333333333,0,4,processor.aggregate,0.971428571,1,1,0.433333333,0.643518519,147,0.147
org.apache.camel.processor.aggregator,9,0,6,1,0.857142857,0.142857143,0,processor.aggregator,0.995238095,0.325,1,1,0,491,0.491
org.apache.camel.processor.exceptionpolicy,7,0.166666667,10,2,0.833333333,0,2,processor.exceptionpolicy,0.99047619,0.266666667,0.75,0.666666667,0.5,416,0.416
org.apache.camel.processor.groovy,1,0,5,0,0,1,0,processor.groovy,1,0.5,1,0,0,17,0.017
org.apache.camel.processor.idempotent,4,0.333333333,5,3,0.625,0.041666667,2,processor.idempotent,0.985714286,0.583333333,0.75,0.555555556,0.5,109,0.109
org.apache.camel.processor.idempotent.jpa,2,0,2,1,0.666666667,0.333333333,0,idempotent.jpa,1,1,1,1,0,96,0.096
org.apache.camel.processor.interceptor,16,0.066666667,15,9,0.625,0.308333333,22,processor.interceptor,0.957142857,0.129032258,0.666666667,0.236111111,0.25308642,987,0.987
org.apache.camel.processor.jpa,1,0,6,0,0,1,0,processor.jpa,1,0.4375,1,0,0,56,0.056
org.apache.camel.processor.juel,1,0,6,0,0,1,0,processor.juel,1,0.375,1,0,0,54,0.054
org.apache.camel.processor.loadbalancer,8,0.6,6,6,0.5,0.1,5,processor.loadbalancer,0.971428571,0.583333333,0.666666667,0.5,0.484722222,236,0.236
org.apache.camel.processor.resequencer,19,0.266666667,6,3,0.666666667,0.066666667,0,processor.resequencer,0.985714286,1,1,0.4,0.333333333,586,0.586
org.apache.camel.processor.routingslip,5,0,10,1,0.909090909,0.090909091,0,processor.routingslip,0.995238095,0.25,0.75,1,0,294,0.294
org.apache.camel.processor.validation,5,0.25,10,4,0.714285714,0.035714286,4,processor.validation,0.980952381,1,1,0.416666667,0.375,221,0.221
org.apache.camel.rest,1,0,2,1,0.666666667,0.333333333,0,camel.rest,0.995238095,1,1,1,0,43,0.043
org.apache.camel.rest.model,2,0,4,2,0.666666667,0.333333333,0,rest.model,0.995238095,1,1,1,1,91,0.091
org.apache.camel.rest.resources,6,0,8,1,0.888888889,0.111111111,0,rest.resources,0.995238095,0.375,1,1,0,135,0.135
org.apache.camel.rest.spring,1,0,8,0,0,1,0,rest.spring,1,0.555555556,1,0,0,41,0.041
org.apache.camel.rest.util,2,0,7,0,0,1,0,rest.util,1,0.466666667,1,0,0,49,0.049
org.apache.camel.ruby,5,0.25,7,0,0,0.75,0,camel.ruby,1,0.3,0.75,0,0,129,0.129
org.apache.camel.spi,21,0,7,66,0.095890411,0.904109589,10,camel.spi,0.685714286,0.380952381,1,0.099242424,0.178092478,166,0.166
org.apache.camel.spring,29,0.115384615,29,41,0.414285714,0.47032967,0,camel.spring,0.828571429,0.064393939,0.285714286,0.119733925,0.576774691,1767,1.767
org.apache.camel.spring.bind,5,0,9,0,0,1,0,spring.bind,1,0.3,0.75,0,0,111,0.111
org.apache.camel.spring.config,12,0,12,0,0,1,0,spring.config,1,0.157894737,0.4375,0,0,288,0.288
org.apache.camel.spring.config.scan,1,0,3,0,0,1,0,config.scan,1,0.666666667,1,0,0,21,0.021
org.apache.camel.spring.config.scan.component,1,0,2,1,0.666666667,0.333333333,0,scan.component,0.995238095,1,1,1,0,10,0.01
org.apache.camel.spring.config.scan.route,1,0,5,0,0,1,0,scan.route,1,0.5,1,0,0,21,0.021
org.apache.camel.spring.dataformat,1,0,1,0,0,1,0,spring.dataformat,1,1,1,0,0,9,0.009
org.apache.camel.spring.debug,1,0,8,0,0,1,0,spring.debug,1,0.333333333,1,0,0,46,0.046
org.apache.camel.spring.example,9,0,9,1,0.9,0.1,0,spring.example,0.995238095,0.261538462,0.75,1,0,209,0.209
org.apache.camel.spring.example.test1,1,0,2,0,0,1,0,example.test1,1,1,1,0,0,7,0.007
org.apache.camel.spring.factory,1,0,3,0,0,1,0,spring.factory,1,0.75,1,0,0,18,0.018
org.apache.camel.spring.handler,4,0,17,2,0.894736842,0.105263158,0,spring.handler,0.99047619,0.12,1,1,0.5,307,0.307
org.apache.camel.spring.interceptor,7,0,12,0,0,1,0,spring.interceptor,1,0.25,0.75,0,0,183,0.183
org.apache.camel.spring.issues,1,0,4,1,0.8,0.2,0,spring.issues,0.995238095,0.75,1,1,0,27,0.027
org.apache.camel.spring.managment,1,0,5,0,0,1,0,spring.managment,1,0.75,1,0,0,21,0.021
org.apache.camel.spring.mock,2,0,5,0,0,1,0,spring.mock,1,0.555555556,1,0,0,33,0.033
org.apache.camel.spring.processor,45,0,10,5,0.666666667,0.333333333,0,spring.processor,0.976190476,0.325,0.195402299,1,0.8,581,0.581
org.apache.camel.spring.processor.onexception,5,0,6,0,0,1,0,processor.onexception,1,0.428571429,0.75,0,0,78,0.078
org.apache.camel.spring.produce,3,0.5,3,0,0,0.5,0,spring.produce,1,1,1,0,0,37,0.037
org.apache.camel.spring.remoting,10,0.25,14,3,0.823529412,0.073529412,0,spring.remoting,0.99047619,0.161458333,0.5,0.5,0.75,278,0.278
org.apache.camel.spring.spi,7,0,11,1,0.916666667,0.083333333,0,spring.spi,0.995238095,0.226190476,0.555555556,1,0,395,0.395
org.apache.camel.spring.util,3,0,8,1,0.888888889,0.111111111,0,spring.util,0.995238095,0.555555556,0.75,1,0,217,0.217
org.apache.camel.spring.xml,2,0,9,0,0,1,0,spring.xml,1,0.305555556,1,0,0,103,0.103
org.apache.camel.testng,3,0,4,1,0.8,0.2,0,camel.testng,0.995238095,0.75,1,1,0,73,0.073
org.apache.camel.testng.example,1,0,4,0,0,1,0,testng.example,1,0.75,1,0,0,22,0.022
org.apache.camel.tests.partialclasspath,3,0,5,0,0,1,0,tests.partialclasspath,1,0.4,1,0,0,77,0.077
org.apache.camel.util,37,0.057142857,25,95,0.208333333,0.73452381,37,camel.util,0.538095238,0.125714286,0.555555556,0.068070175,0.360704037,3161,3.161
org.apache.camel.util.concurrent,3,0,4,1,0.8,0.2,1,util.concurrent,0.995238095,1,1,1,0,131,0.131
org.apache.camel.util.jndi,4,0,8,17,0.32,0.68,1,util.jndi,0.919047619,0.625,1,0.25,0.525951557,419,0.419
org.apache.camel.view,8,0.142857143,16,4,0.8,0.057142857,1,camel.view,0.980952381,0.197530864,0.75,0.5,0.666666667,742,0.742
org.apache.camel.wsdl_first,6,0,6,1,0.857142857,0.142857143,0,camel.wsdl_first,0.995238095,1,1,1,0,98,0.098
